General Elements,,,Physical Elements,,,Logical Elements,,,,
Column Name,Parent Table,Description,Data Type ,Length,Decimal Places,Key Type,Uniqueness,Supports NULL,Default Value,Range of Values
emp_id,employees,Unique ID for each employee; supports data integrity ,INT,,0,PK,Unique,NO,,UNSIGNED
fname,employees,Allows user to access first name of each employee,VARCHAR,40,,,,NO,,
lname,employees,Allows user to access last name of each employee,VARCHAR,40,,,,NO,,
emp_type,employees,Defines professional role of each employee; allows user to track hours and bill rates depending on the type of employee,VARCHAR,10,,FK,,NO,,"""Apprentice"", ""Manager"""
gender,employees,Defines gender of each employee; useful for comparing hours and wages according to gender,CHAR,1,,,,YES,"""Not available""","""M"", ""F"""
phone,employees,Phone number of each employee; provides means of contact ,CHAR,14,,,,NO,,(***)-***-****
email,employees ,Email address of each employee; provides additional means of contact if employee can't be reached by phone,VARCHAR,75,,,,NO,,
street,employees,Street address of each employee; used as a mailing address to mail invoices and W2 forms,VARCHAR,75,,,,NO,,
city,employees,Defines city of each employee's address; necessary component of a mailing address,VARCHAR,40,,,,NO,,
state,employees,Defines state of each employee's address; necessary component of mailing address,CHAR,2,,FK,,NO,,2 character abbreviation defined in state validation table
zip,employees,Defines ZIP code of each employee's address; necessary component of mailing address,INT,,0,,,NO,,*****
emp_type,emp_type,Defines professional role of each employee; allows user to track hours and bill rates depending on the type of employee,VARCHAR,10,,PK,Unique,NO,,"""Apprentice"", ""Manager"""
state,state,Defines state of each employee's address; necessary component of mailing address,CHAR,2,,PK,Unique,NO,,2 character abbreviation; must match one of the state values in this column
emp_id,apprentices,Unique ID for each employee; refers to employee id in employees table,INT,,,"PK, FK",Unique,NO,,UNSIGNED
manager_id,apprentices,Establishes which manager each apprentice is assigned to,INT,,,FK,,NO,,UNSIGNED
instructional_hrs,apprentices,Logs how many work/instructional hours an apprentice had prior to their apprenticeship (if any),INT,,2,,,YES,0,0-2000
from_date,apprentices,"First date each apprentice was employed; used to track employment status, salaries, and work hours",DATE,,,,,NO,,****-**-** 
to_date,apprentices,"Last date of employment for each apprentice; used to track employment status, and potentially employment type",DATE,,,,,YES,NULL,****-**-** 
manager_id,managers,Unique ID for each employee; refers to employee id in employees table,INT,,0,"PK, FK",Unique,NO,,UNSIGNED
from_date,managers,"First date of employment for each manager; used to track employment status, salary, and work hours",DATE,,,,,NO,,****-**-** 
to_date,managers,"Last date of employment for each manager; used to track employment status, and potentially employment type",DATE,,,,,YES,NULL,****-**-** 
proj_id,projects,Unique ID for each project; supports data integrity,INT,,0,PK,Unique,NO,,UNSIGNED
comp_id,projects,ID of the company that the project is being built for,INT,,0,FK,,NO,,UNSIGNED
proj_name,projects,"Name of the project; for organization purposes, makes it easier for the user to distinguish specific projects",VARCHAR,40,,,,NO,,
est_hrs,projects,Manager's estimation of how many hours it will take to complete a project,INT,,2,,,YES,"""Hours to complete is not yet estimated""","0-99,999"
bill_rate,projects,Hourly rate for a specific project; apprentice wage and manager wage are taken into account to estimate a total hourly rate for clients to pay,INT,,2,,,NO,,"0-9,999"
