General Elemnents,Physical Description,,Logical Elements,,,, 
Decimal Places,Key Type,Uniqueness,Support Null,Defualt Null,,,
,PK ,Employees,not Null,,,,
, ,Start_date,not Null,,,,
, ,End_date,,Null (0000-00-00),,,
,FK,emp_id,not Null,,,,
, ,gender,not Null,,,,
,,f-name,not Null,,,,
,,l_name,not Null,,,,
,,address,not Null,,,,
,,email,not Null,,,,
,,phone,not Null 000-000-0000 int.,,,,
,,,,,,,
,,,,,,,
,Table,Projects,not Null,,,,
,PK,Project ,not Null,,,,
,FK,emp_id,not Null,,,,
,FK,client_id,not Null,,,,
,FK,proj_id,not Null,,,,
,,,,,,,
,Table,Clients,,,,,
,PK,Client ,not Null,,,,
,,fname,not Null,,,,
,,lname,not Null,,,,
,,address,not Null,,,,
,,phone,not Null 000-000-0000 int,,,,
,FK,proj_id,not Null,,,,
,FK,poc_id,not Null,,,,
,,,,,,,
,,,,,,,
,Table,Point of contact,,,,,
,PK,POC,,,,,
,FK,poc_id,not Null,,,,
,,fname,not Null,,,,
,,lname,not Null,,,,
,,phone,not Nul 000-000-0000,,,,
,,email,not Null,,,,
,,,,,,,
,Table,TIME ENTRY,,,,,
,PK,hours_id,not Null,,,,
,FK,emp_no,not Null,,,,
,FK,proj_no,not Null,,,,
,,,,,,,
,Table,Appreintace,,,,,
,"PK,FK",appt_id,not Null,,,,
,FK,ment_id,not Null,,,,
